Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A,Conv2d Count,BatchNorm2d Count,Dropout Count,AdaptiveAvgPool2d Count,Linear Count
input_channels:1_num_classes:956_depth:22_arch:uniform_base_filters:72_batch:30_input_size:150_act:prelu_dropout:0.16294183649715593_dropout:False_batchnorm:True.out,0,"[('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0), ('PReLU', 22500, 0)]",PReLU,495000,0,30,16061,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:435_depth:16_arch:residual_base_filters:120_batch:16_input_size:200_act:selu_dropout:0.2594242638726377_dropout:False_batchnorm:True.out,0,"[('SELU', 40000, 0), ('SELU', 40000, 0), ('SELU', 10000, 0), ('SELU', 10000, 0), ('SELU', 10000, 0), ('SELU', 10000, 0), ('SELU', 2500, 0), ('SELU', 2500, 0), ('SELU', 2500, 0), ('SELU', 2500, 0), ('SELU', 625, 0), ('SELU', 625, 0), ('SELU', 625, 0), ('SELU', 625, 0), ('SELU', 169, 0), ('SELU', 169, 0)]",SELU,132838,0,16,8843,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:157_depth:4_arch:pyramid_base_filters:61_batch:32_input_size:102_act:tanh_dropout:0.22763112287659637_dropout:False_batchnorm:False.out,0,"[('Tanh', 10404, 0), ('Tanh', 10404, 0), ('Tanh', 10404, 0), ('Tanh', 10404, 0)]",Tanh,41616,0,32,8899,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:100_depth:22_arch:residual_base_filters:81_batch:58_input_size:222_act:softplus_dropout:0.3868177844563978_dropout:False_batchnorm:True.out,0,"[('Softplus', 49284, 0), ('Softplus', 49284, 0), ('Softplus', 12321, 0), ('Softplus', 12321, 0), ('Softplus', 12321, 0), ('Softplus', 12321, 0), ('Softplus', 3136, 0), ('Softplus', 3136, 0), ('Softplus', 3136, 0), ('Softplus', 3136, 0), ('Softplus', 784, 0), ('Softplus', 784, 0), ('Softplus', 784, 0), ('Softplus', 784, 0), ('Softplus', 196, 0), ('Softplus', 196, 0), ('Softplus', 196, 0), ('Softplus', 196, 0), ('Softplus', 49, 0), ('Softplus', 49, 0)]",Softplus,164414,0,58,22297,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:782_depth:7_arch:hourglass_base_filters:55_batch:60_input_size:28_act:swish_dropout:0.4864820138912168_dropout:False_batchnorm:True.out,0,"[('SiLU', 784, 0), ('SiLU', 784, 0), ('SiLU', 784, 0), ('SiLU', 784, 0), ('SiLU', 784, 0), ('SiLU', 784, 0), ('SiLU', 784, 0)]",SiLU,5488,0,60,4009,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:633_depth:7_arch:uniform_base_filters:50_batch:34_input_size:182_act:leaky_relu_dropout:0.4001604314152226_dropout:True_batchnorm:True.out,0,"[('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0)]",LeakyReLU,463736,0,34,8179,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:104_depth:9_arch:pyramid_base_filters:40_batch:12_input_size:108_act:swish_dropout:0.4487676269184536_dropout:True_batchnorm:False.out,0,"[('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0), ('SiLU', 11664, 0), ('Dropout', 11664, 0)]",SiLU,209952,0,12,8687,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:479_depth:18_arch:residual_base_filters:89_batch:50_input_size:202_act:gelu_dropout:0.10865719578382925_dropout:True_batchnorm:False.out,0,"[('Identity', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('Identity', 10201, 0), ('GELU', 10201, 0), ('Dropout', 10201, 0), ('GELU', 10201, 0), ('Dropout', 10201, 0), ('Identity', 10201, 0), ('GELU', 10201, 0), ('Dropout', 10201, 0), ('GELU', 10201, 0), ('Dropout', 10201, 0), ('Identity', 2601, 0), ('GELU', 2601, 0), ('Dropout', 2601, 0), ('GELU', 2601, 0), ('Dropout', 2601, 0), ('Identity', 2601, 0), ('GELU', 2601, 0), ('Dropout', 2601, 0), ('GELU', 2601, 0), ('Dropout', 2601, 0), ('Identity', 676, 0), ('GELU', 676, 0), ('Dropout', 676, 0), ('GELU', 676, 0), ('Dropout', 676, 0), ('Identity', 676, 0), ('GELU', 676, 0), ('Dropout', 676, 0), ('GELU', 676, 0), ('Dropout', 676, 0), ('Identity', 169, 0), ('GELU', 169, 0), ('Dropout', 169, 0), ('GELU', 169, 0), ('Dropout', 169, 0), ('Identity', 169, 0), ('GELU', 169, 0), ('Dropout', 169, 0), ('GELU', 169, 0), ('Dropout', 169, 0)]",GELU,340490,0,50,14951,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:959_depth:9_arch:bottleneck_base_filters:77_batch:18_input_size:128_act:relu_dropout:0.4963248953174547_dropout:False_batchnorm:True.out,0,"[('ReLU', 16384, 0), ('ReLU', 16384, 0), ('ReLU', 16384, 0), ('ReLU', 16384, 0), ('ReLU', 16384, 0), ('ReLU', 16384, 0), ('ReLU', 16384, 0), ('ReLU', 16384, 0), ('ReLU', 16384, 0)]",ReLU,147456,0,18,17879,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:741_depth:27_arch:hourglass_base_filters:74_batch:50_input_size:166_act:leaky_relu_dropout:0.19747492441512948_dropout:True_batchnorm:False.out,0,"[('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0), ('LeakyReLU', 27556, 0), ('Dropout', 27556, 0)]",LeakyReLU,1488024,0,50,37577,21.6,0.12471428571428571,0.509,0.153,0.0055,0,0,0,0,0
