Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A,Conv2d Count,BatchNorm2d Count,Dropout Count,AdaptiveAvgPool2d Count,Linear Count
input_channels:1_num_classes:395_depth:19_arch:gradual_base_filters:120_batch:58_input_size:134_act:leaky_relu_dropout:0.13786210270249746_dropout:True_batchnorm:True.out,0,"[('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0), ('LeakyReLU', 17956, 0), ('Dropout', 17956, 0)]",LeakyReLU,682328,0,58,40073,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:545_depth:21_arch:hourglass_base_filters:55_batch:58_input_size:194_act:relu_dropout:0.45384507956947584_dropout:True_batchnorm:False.out,0,"[('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0), ('ReLU', 37636, 0), ('Dropout', 37636, 0)]",ReLU,1580712,0,58,35807,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:120_depth:28_arch:residual_base_filters:95_batch:6_input_size:168_act:gelu_dropout:0.46925513809118335_dropout:False_batchnorm:True.out,0,"[('GELU', 28224, 0), ('GELU', 28224, 0), ('GELU', 7056, 0), ('GELU', 7056, 0), ('GELU', 7056, 0), ('GELU', 7056, 0), ('GELU', 1764, 0), ('GELU', 1764, 0), ('GELU', 1764, 0), ('GELU', 1764, 0), ('GELU', 441, 0), ('GELU', 441, 0), ('GELU', 441, 0), ('GELU', 441, 0), ('GELU', 121, 0), ('GELU', 121, 0), ('GELU', 121, 0), ('GELU', 121, 0), ('GELU', 36, 0), ('GELU', 36, 0)]",GELU,94048,0,6,3045,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:214_depth:8_arch:uniform_base_filters:36_batch:12_input_size:114_act:relu_dropout:0.4187944862545373_dropout:False_batchnorm:False.out,0,"[('ReLU', 12996, 0), ('ReLU', 12996, 0), ('ReLU', 12996, 0), ('ReLU', 12996, 0), ('ReLU', 12996, 0), ('ReLU', 12996, 0), ('ReLU', 12996, 0), ('ReLU', 12996, 0)]",ReLU,103968,0,12,2009,78.78461538461538,0.7883230769230767,0.7369999999999998,0.31087719298245614,0.21647368421052635,0,0,0,0,0
input_channels:3_num_classes:460_depth:16_arch:pyramid_base_filters:87_batch:42_input_size:148_act:swish_dropout:0.243282172901286_dropout:True_batchnorm:True.out,0,"[('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0), ('SiLU', 21904, 0), ('Dropout', 21904, 0)]",SiLU,700928,0,42,39429,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:773_depth:16_arch:uniform_base_filters:89_batch:42_input_size:202_act:gelu_dropout:0.200614005799204_dropout:True_batchnorm:True.out,0,"[('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0), ('GELU', 40804, 0), ('Dropout', 40804, 0)]",GELU,1305728,0,42,37171,96.96774193548387,0.9264153846153846,0.9048392857142858,0.446,0.04080357142857143,0,0,0,0,0
input_channels:3_num_classes:648_depth:22_arch:gradual_base_filters:86_batch:28_input_size:194_act:tanh_dropout:0.1444872287780085_dropout:True_batchnorm:True.out,0,"[('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0), ('Tanh', 37636, 0), ('Dropout', 37636, 0)]",Tanh,1655984,0,28,40073,5.333333333333333,0.09140000000000001,0.314,0.1655,0.036,0,0,0,0,0
input_channels:1_num_classes:904_depth:8_arch:gradual_base_filters:72_batch:40_input_size:54_act:tanh_dropout:0.28192167396200063_dropout:True_batchnorm:False.out,0,"[('Tanh', 2916, 0), ('Dropout', 2916, 0), ('Tanh', 2916, 0), ('Dropout', 2916, 0), ('Tanh', 2916, 0), ('Dropout', 2916, 0), ('Tanh', 2916, 0), ('Dropout', 2916, 0), ('Tanh', 2916, 0), ('Dropout', 2916, 0), ('Tanh', 2916, 0), ('Dropout', 2916, 0), ('Tanh', 2916, 0), ('Dropout', 2916, 0), ('Tanh', 2916, 0), ('Dropout', 2916, 0)]",Tanh,46656,0,40,3869,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:487_depth:15_arch:residual_base_filters:20_batch:28_input_size:98_act:gelu_dropout:0.47088996357502466_dropout:False_batchnorm:False.out,0,"[('Identity', 9604, 0), ('GELU', 9604, 0), ('GELU', 9604, 0), ('Identity', 2401, 0), ('GELU', 2401, 0), ('GELU', 2401, 0), ('Identity', 2401, 0), ('GELU', 2401, 0), ('GELU', 2401, 0), ('Identity', 625, 0), ('GELU', 625, 0), ('GELU', 625, 0), ('Identity', 625, 0), ('GELU', 625, 0), ('GELU', 625, 0), ('Identity', 169, 0), ('GELU', 169, 0), ('GELU', 169, 0), ('Identity', 169, 0), ('GELU', 169, 0), ('GELU', 169, 0)]",GELU,47982,0,28,2073,73.85714285714286,0.6920923076923075,0.4927118644067795,0.19008474576271195,0.12034482758620682,0,0,0,0,0
input_channels:1_num_classes:167_depth:1_arch:hourglass_base_filters:26_batch:4_input_size:124_act:gelu_dropout:0.48641525429290877_dropout:True_batchnorm:False.out,0,"[('GELU', 15376, 0), ('Dropout', 15376, 0)]",GELU,30752,0,4,1741,27.828125,0.25355384615384613,0.09514545454545459,0.030327272727272724,0.020431372549019618,0,0,0,0,0
input_channels:1_num_classes:177_depth:22_arch:uniform_base_filters:42_batch:48_input_size:186_act:tanh_dropout:0.36529890756140293_dropout:False_batchnorm:False.out,0,"[('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0), ('Tanh', 34596, 0)]",Tanh,761112,0,48,9211,92.62121212121212,0.9135230769230772,0.9601454545454545,0.4578181818181818,0.24636363636363637,0,0,0,0,0
input_channels:1_num_classes:886_depth:27_arch:dense_base_filters:54_batch:60_input_size:186_act:mish_dropout:0.2543435502304008_dropout:True_batchnorm:True.out,0,"[('Mish', 34596, 0), ('Dropout', 34596, 0), ('Mish', 34596, 0), ('Dropout', 34596, 0), ('Mish', 34596, 0), ('Dropout', 34596, 0), ('Mish', 34596, 0), ('Dropout', 34596, 0), ('ReLU', 34596, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0), ('Mish', 8649, 0), ('Dropout', 8649, 0)]",Mish,657324,0,60,33281,94.15384615384616,0.9223384615384619,0.8083859649122809,0.4160350877192981,0.1382142857142857,0,0,0,0,0
input_channels:1_num_classes:564_depth:2_arch:uniform_base_filters:33_batch:34_input_size:180_act:relu_dropout:0.40978283442743146_dropout:False_batchnorm:False.out,0,"[('ReLU', 32400, 0), ('ReLU', 32400, 0)]",ReLU,64800,0,34,2587,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:590_depth:10_arch:dense_base_filters:65_batch:18_input_size:88_act:selu_dropout:0.39798957353482467_dropout:True_batchnorm:True.out,0,"[('SELU', 7744, 0), ('Dropout', 7744, 0), ('SELU', 7744, 0), ('Dropout', 7744, 0), ('SELU', 7744, 0), ('Dropout', 7744, 0), ('SELU', 7744, 0), ('Dropout', 7744, 0), ('ReLU', 7744, 0), ('SELU', 1936, 0), ('Dropout', 1936, 0), ('SELU', 1936, 0), ('Dropout', 1936, 0), ('SELU', 1936, 0), ('Dropout', 1936, 0), ('SELU', 1936, 0), ('Dropout', 1936, 0)]",SELU,85184,0,18,2629,84.61904761904762,0.7735757575757575,0.6026607142857143,0.26669642857142845,0.10403636363636368,0,0,0,0,0
input_channels:1_num_classes:413_depth:7_arch:gradual_base_filters:21_batch:34_input_size:194_act:swish_dropout:0.15307360721492827_dropout:True_batchnorm:True.out,0,"[('SiLU', 37636, 0), ('Dropout', 37636, 0), ('SiLU', 37636, 0), ('Dropout', 37636, 0), ('SiLU', 37636, 0), ('Dropout', 37636, 0), ('SiLU', 37636, 0), ('Dropout', 37636, 0), ('SiLU', 37636, 0), ('Dropout', 37636, 0), ('SiLU', 37636, 0), ('Dropout', 37636, 0), ('SiLU', 37636, 0), ('Dropout', 37636, 0)]",SiLU,526904,0,34,14267,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:89_depth:22_arch:bottleneck_base_filters:62_batch:26_input_size:118_act:swish_dropout:0.3074184858838796_dropout:False_batchnorm:True.out,0,"[('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0), ('SiLU', 13924, 0)]",SiLU,306328,0,26,39697,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:781_depth:16_arch:uniform_base_filters:27_batch:48_input_size:6_act:prelu_dropout:0.3597533569886783_dropout:True_batchnorm:True.out,0,[],None,0,0,48,0,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:725_depth:16_arch:gradual_base_filters:103_batch:10_input_size:70_act:mish_dropout:0.4685746222396162_dropout:False_batchnorm:False.out,0,"[('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0), ('Mish', 4900, 0)]",Mish,78400,0,10,3955,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:727_depth:11_arch:gradual_base_filters:122_batch:52_input_size:154_act:elu_dropout:0.14919617026685295_dropout:False_batchnorm:True.out,0,"[('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0), ('ELU', 23716, 0)]",ELU,260876,0,52,38651,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:343_depth:18_arch:pyramid_base_filters:31_batch:18_input_size:212_act:prelu_dropout:0.4796426747138117_dropout:False_batchnorm:False.out,0,"[('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0), ('PReLU', 44944, 0)]",PReLU,808992,0,18,39739,0,0,0,0,0,0,0,0,0,0
input_channels:1_num_classes:900_depth:18_arch:uniform_base_filters:76_batch:36_input_size:124_act:softplus_dropout:0.49764414932313306_dropout:True_batchnorm:True.out,0,"[('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0), ('Softplus', 15376, 0), ('Dropout', 15376, 0)]",Softplus,553536,0,36,12655,94.3125,0.9121076923076925,0.8757857142857146,0.3567321428571429,0.04392857142857143,0,0,0,0,0
input_channels:1_num_classes:161_depth:6_arch:hourglass_base_filters:79_batch:54_input_size:54_act:gelu_dropout:0.47199804962877234_dropout:False_batchnorm:False.out,0,"[('GELU', 2916, 0), ('GELU', 2916, 0), ('GELU', 2916, 0), ('GELU', 2916, 0), ('GELU', 2916, 0), ('GELU', 2916, 0)]",GELU,17496,0,54,7163,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:445_depth:11_arch:residual_base_filters:116_batch:54_input_size:6_act:softplus_dropout:0.1657965531812211_dropout:False_batchnorm:False.out,0,[],None,0,0,54,0,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:468_depth:14_arch:dense_base_filters:126_batch:54_input_size:182_act:relu_dropout:0.25062656866855676_dropout:False_batchnorm:False.out,0,"[('ReLU', 33124, 0), ('ReLU', 33124, 0), ('ReLU', 33124, 0), ('ReLU', 33124, 0), ('ReLU', 33124, 0), ('ReLU', 8281, 0), ('ReLU', 8281, 0), ('ReLU', 8281, 0), ('ReLU', 8281, 0), ('ReLU', 8281, 0), ('ReLU', 8281, 0), ('ReLU', 8281, 0), ('ReLU', 8281, 0)]",ReLU,231868,0,54,15307,91.53968253968254,0.8869538461538456,0.9219814814814812,0.4829074074074074,0.14375,0,0,0,0,0
input_channels:3_num_classes:755_depth:27_arch:uniform_base_filters:106_batch:6_input_size:78_act:relu_dropout:0.14882728913832716_dropout:False_batchnorm:False.out,0,"[('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0), ('ReLU', 6084, 0)]",ReLU,164268,0,6,2445,91.36923076923077,0.9086615384615376,0.6916101694915257,0.29371186440677977,0.009896551724137935,0,0,0,0,0
input_channels:1_num_classes:153_depth:27_arch:dense_base_filters:74_batch:38_input_size:172_act:swish_dropout:0.262466392909116_dropout:False_batchnorm:False.out,0,"[('SiLU', 29584, 0), ('SiLU', 29584, 0), ('SiLU', 29584, 0), ('SiLU', 29584, 0), ('ReLU', 29584, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0), ('SiLU', 7396, 0)]",SiLU,295840,0,38,18419,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:988_depth:28_arch:residual_base_filters:91_batch:42_input_size:16_act:relu_dropout:0.49167945243843203_dropout:False_batchnorm:True.out,0,"[('ReLU', 256, 0), ('ReLU', 256, 0), ('ReLU', 64, 0), ('ReLU', 64, 0), ('ReLU', 64, 0), ('ReLU', 64, 0), ('ReLU', 16, 0), ('ReLU', 16, 0)]",ReLU,800,0,42,1825,0,0,0,0,0,0,0,0,0,0
input_channels:3_num_classes:10_depth:15_arch:uniform_base_filters:93_batch:16_input_size:100_act:swish_dropout:0.1634413308162786_dropout:True_batchnorm:True.out,0,"[('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0), ('SiLU', 10000, 0), ('Dropout', 10000, 0)]",SiLU,300000,0,16,5083,90.44615384615385,0.8808181818181816,0.8579649122807018,0.42357894736842117,0.035965517241379294,0,0,0,0,0
input_channels:1_num_classes:656_depth:9_arch:hourglass_base_filters:24_batch:62_input_size:182_act:leaky_relu_dropout:0.11248677088782913_dropout:True_batchnorm:True.out,0,"[('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0), ('LeakyReLU', 33124, 0), ('Dropout', 33124, 0)]",LeakyReLU,596232,0,62,36879,21.857142857142858,0.20716666666666664,0.334,0.09533333333333333,0.942,0,0,0,0,0
input_channels:3_num_classes:133_depth:24_arch:pyramid_base_filters:112_batch:10_input_size:202_act:prelu_dropout:0.42490995354717553_dropout:True_batchnorm:True.out,0,"[('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0), ('PReLU', 40804, 0), ('Dropout', 40804, 0)]",PReLU,1958592,0,10,39347,47.0,0.157,0.027,0.02,0.009666666666666667,0,0,0,0,0
input_channels:1_num_classes:809_depth:23_arch:hourglass_base_filters:113_batch:56_input_size:210_act:swish_dropout:0.2760358557430137_dropout:False_batchnorm:True.out,0,"[('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0), ('SiLU', 44100, 0)]",SiLU,1014300,0,56,39763,29.857142857142858,0.23233333333333336,0.629,0.264,0.0115,0,0,0,0,0
