Filename,Depth,Activations-Params,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:1685_output:402_depth:5_arch:bottleneck_batch:340.out,7,"[(842, 1419612), (421, 354903), (402, 169644), (402, 162006), (402, 162006), (402, 162006), (402, 162006)]",3273,2592183,340,1511,36.73076923076923,0.34502597402597385,0.18387142857142857,0.027200000000000012,0.10328985507246384
input:1436_output:312_depth:10_arch:bottleneck_batch:689.out,12,"[(718, 1031766), (359, 258121), (312, 112320), (312, 97656), (312, 97656), (312, 97656), (312, 97656), (312, 97656), (312, 97656), (312, 97656), (312, 97656), (312, 97656)]",4197,2281111,689,1499,36.43589743589744,0.33801298701298704,0.19706060606060616,0.036439393939393924,0.11119696969696975
input:3790_output:930_depth:4_arch:pyramid_batch:180.out,5,"[(1895, 7183945), (947, 1795512), (930, 881640), (930, 865830), (930, 865830)]",5632,11592757,180,1695,49.41025641025641,0.45036363636363663,0.3731142857142857,0.10757142857142854,0.16014285714285706
input:709_output:33_depth:3_arch:pyramid_batch:407.out,4,"[(354, 251340), (177, 62835), (88, 15664), (33, 2937)]",652,332776,407,1459,21.512820512820515,0.19341558441558446,0.04557575757575756,0.005590909090909094,0.020984615384615397
input:437_output:52_depth:10_arch:pyramid_batch:640.out,11,"[(218, 95484), (109, 23871), (54, 5940), (52, 2860), (52, 2756), (52, 2756), (52, 2756), (52, 2756), (52, 2756), (52, 2756), (52, 2756)]",797,147447,640,1455,22.46153846153846,0.21557142857142858,0.03623188405797101,0.002971014492753625,0.009558823529411772
input:2001_output:278_depth:10_arch:bottleneck_batch:30.out,12,"[(1000, 2002000), (500, 500500), (278, 139278), (278, 77562), (278, 77562), (278, 77562), (278, 77562), (278, 77562), (278, 77562), (278, 77562), (278, 77562), (278, 77562)]",4280,3339836,30,1527,38.08974358974359,0.3708974358974359,0.10562500000000007,0.017638888888888885,0.020126760563380284
input:3561_output:873_depth:10_arch:bottleneck_batch:290.out,12,"[(1780, 6340360), (890, 1585090), (873, 777843), (873, 763002), (873, 763002), (873, 763002), (873, 763002), (873, 763002), (873, 763002), (873, 763002), (873, 763002), (873, 763002)]",11400,15570311,290,1795,54.91025641025641,0.5147142857142855,0.43834285714285737,0.1387714285714286,0.22037681159420297
input:3420_output:216_depth:5_arch:bottleneck_batch:991.out,7,"[(1710, 5849910), (855, 1462905), (427, 365512), (216, 92448), (216, 46872), (216, 46872), (216, 46872)]",3856,7911391,991,1633,36.19230769230769,0.3072077922077923,0.26765671641791033,0.0703582089552239,0.18810769230769225
input:2010_output:229_depth:7_arch:pyramid_batch:491.out,8,"[(1005, 2021055), (502, 505012), (251, 126253), (229, 57708), (229, 52670), (229, 52670), (229, 52670), (229, 52670)]",2903,2920708,491,1521,37.675324675324674,0.3347012987012986,0.19644117647058823,0.03545588235294116,0.11558823529411767
input:3313_output:725_depth:5_arch:pyramid_batch:80.out,6,"[(1656, 5487984), (828, 1371996), (725, 601025), (725, 526350), (725, 526350), (725, 526350)]",5384,9040055,80,1643,45.79746835443038,0.4313205128205129,0.3192054794520549,0.08052054794520559,0.08688888888888889
