Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Batch Normalization Layers,Dropout Layers,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:3319_output:493_depth:9_arch:uniform_batch:340_act:relu_dropout:0.1518237452584844_dropout:False_batchnorm:True.out,10,"[(3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (3319, 11019080), (3319, 6638), (3319, 0), (493, 1636760), (493, 0)]",ReLU,90599,100868222,340,9,0,3557,81.4375,0.7964444444444444,0.7783333333333333,0.33112500000000006,0.45807272727272713
input:3786_output:275_depth:9_arch:pyramid_batch:995_act:elu_dropout:0.22640545702436976_dropout:False_batchnorm:False.out,10,"[(1893, 7168791), (1893, 0), (946, 1791724), (946, 0), (473, 447931), (473, 0), (275, 130350), (275, 0), (275, 75900), (275, 0), (275, 75900), (275, 0), (275, 75900), (275, 0), (275, 75900), (275, 0), (275, 75900), (275, 0), (275, 75900), (275, 0)]",ELU,10474,9994196,995,0,0,1709,35.390625,0.299,0.26056363636363644,0.07198181818181819,0.18287272727272721
input:2399_output:481_depth:10_arch:uniform_batch:423_act:leaky_relu_dropout:0.29789072367591996_dropout:True_batchnorm:True.out,11,"[(2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (2399, 5757600), (2399, 4798), (2399, 0), (2399, 0), (481, 1154400), (481, 0)]",LeakyReLU,96922,58778380,423,10,10,2727,76.38709677419355,0.7420645161290326,0.7152857142857142,0.27082142857142855,0.4513818181818182
input:400_output:6_depth:8_arch:gradual_batch:869_act:tanh_dropout:0.14650747393934338_dropout:True_batchnorm:True.out,9,"[(351, 140751), (351, 702), (351, 0), (351, 0), (302, 106304), (302, 604), (302, 0), (302, 0), (253, 76659), (253, 506), (253, 0), (253, 0), (204, 51816), (204, 408), (204, 0), (204, 0), (155, 31775), (155, 310), (155, 0), (155, 0), (106, 16536), (106, 212), (106, 0), (106, 0), (57, 6099), (57, 114), (57, 0), (57, 0), (8, 464), (8, 16), (8, 0), (8, 0), (6, 54), (6, 0)]",Tanh,5756,433330,869,8,8,1489,26.634920634920636,0.2505967741935484,0.07558181818181821,0.014036363636363645,0.028568965517241387
input:1905_output:251_depth:4_arch:uniform_batch:996_act:identity_dropout:0.12996211688750475_dropout:False_batchnorm:True.out,5,"[(1905, 3630930), (1905, 3810), (1905, 0), (1905, 3630930), (1905, 3810), (1905, 0), (1905, 3630930), (1905, 3810), (1905, 0), (1905, 3630930), (1905, 3810), (1905, 0), (251, 478406), (251, 0)]",Identity,23362,15017366,996,4,0,1785,44.515625,0.416,0.3735090909090908,0.13727272727272724,0.2799636363636364
input:166_output:39_depth:3_arch:uniform_batch:689_act:leaky_relu_dropout:0.16185851689091382_dropout:False_batchnorm:False.out,4,"[(166, 27722), (166, 0), (166, 27722), (166, 0), (166, 27722), (166, 0), (39, 6513), (39, 0)]",LeakyReLU,1074,89679,689,0,0,1455,12.555555555555555,0.11632258064516128,0.032526315789473695,0.0039298245614035115,0.011055555555555563
input:1777_output:131_depth:7_arch:bottleneck_batch:541_act:prelu_dropout:0.20796020639714832_dropout:True_batchnorm:False.out,9,"[(888, 1578864), (888, 0), (888, 0), (444, 394716), (444, 0), (444, 0), (222, 98790), (222, 0), (222, 0), (131, 29213), (131, 0), (131, 0), (131, 17292), (131, 0), (131, 0), (131, 17292), (131, 0), (131, 0), (131, 17292), (131, 0), (131, 0), (131, 17292), (131, 0), (131, 0), (131, 17292), (131, 0)]",PReLU,6889,2188043,541,0,8,1521,35.58730158730159,0.3195396825396827,0.1659056603773585,0.027169811320754716,0.0870566037735849
input:3457_output:293_depth:2_arch:uniform_batch:411_act:mish_dropout:0.19255105530344083_dropout:False_batchnorm:True.out,3,"[(3457, 11954306), (3457, 6914), (3457, 0), (3457, 11954306), (3457, 6914), (3457, 0), (293, 1013194), (293, 0)]",Mish,21328,24935634,411,2,0,1973,56.296875,0.5291612903225807,0.49998148148148175,0.17783333333333323,0.32242857142857145
input:1065_output:142_depth:3_arch:uniform_batch:525_act:relu_dropout:0.3407839068433124_dropout:True_batchnorm:True.out,4,"[(1065, 1135290), (1065, 2130), (1065, 0), (1065, 0), (1065, 1135290), (1065, 2130), (1065, 0), (1065, 0), (1065, 1135290), (1065, 2130), (1065, 0), (1065, 0), (142, 151372), (142, 0)]",ReLU,13064,3563632,525,3,3,1537,35.983870967741936,0.33258064516129043,0.24437735849056605,0.06735849056603777,0.15452941176470594
input:1968_output:125_depth:4_arch:uniform_batch:379_act:gelu_dropout:0.22834537525936477_dropout:False_batchnorm:False.out,5,"[(1968, 3874992), (1968, 0), (1968, 3874992), (1968, 0), (1968, 3874992), (1968, 0), (1968, 3874992), (1968, 0), (125, 246125), (125, 0)]",GELU,15994,15746093,379,0,0,1799,51.42857142857143,0.4879516129032258,0.45417543859649107,0.14705263157894727,0.27632758620689657
