Filename,Depth,Activations-Params,Activation Function,Total Activations,Total Parameters,Batch Size,Max GPU Memory (MiB),Avg GPUTL,Avg GRACT,Avg SMACT,Avg SMOCC,Avg FP32A
input:3521_output:547_depth:3_arch:pyramid_batch:149.out,4,"[('linear', 1760, 6198720), ('ReLU', 1760, 0), ('linear', 880, 1549680), ('ReLU', 880, 0), ('linear', 547, 481907), ('ReLU', 547, 0), ('linear', 547, 299756)]",ReLU,6921,8530063,149,1633,45.55128205128205,0.40280769230769203,0.32506944444444463,0.07874999999999996,0.11813846153846155
input:1483_output:216_depth:8_arch:uniform_batch:173.out,9,"[('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 1483, 2200772), ('ReLU', 1483, 0), ('linear', 216, 320544)]",ReLU,23944,17926720,173,1861,62.70886075949367,0.6196025641025643,0.5008142857142857,0.1752714285714286,0.23694285714285723
input:2024_output:296_depth:10_arch:bottleneck_batch:607.out,12,"[('linear', 1012, 2049300), ('ReLU', 1012, 0), ('linear', 506, 512578), ('ReLU', 506, 0), ('linear', 296, 150072), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912), ('ReLU', 296, 0), ('linear', 296, 87912)]",ReLU,8660,3503158,607,1557,36.756410256410255,0.32278205128205134,0.21332835820895532,0.03558208955223879,0.1251641791044776
input:1588_output:106_depth:9_arch:bottleneck_batch:586.out,11,"[('linear', 794, 1261666), ('ReLU', 794, 0), ('linear', 397, 315615), ('ReLU', 397, 0), ('linear', 198, 78804), ('ReLU', 198, 0), ('linear', 106, 21094), ('ReLU', 106, 0), ('linear', 106, 11342), ('ReLU', 106, 0), ('linear', 106, 11342), ('ReLU', 106, 0), ('linear', 106, 11342), ('ReLU', 106, 0), ('linear', 106, 11342), ('ReLU', 106, 0), ('linear', 106, 11342), ('ReLU', 106, 0), ('linear', 106, 11342), ('ReLU', 106, 0), ('linear', 106, 11342)]",ReLU,4368,1756573,586,1497,32.96153846153846,0.3002820512820513,0.1508939393939394,0.025439393939393925,0.08675000000000005
input:1074_output:137_depth:7_arch:uniform_batch:580.out,8,"[('linear', 1074, 1154550), ('ReLU', 1074, 0), ('linear', 1074, 1154550), ('ReLU', 1074, 0), ('linear', 1074, 1154550), ('ReLU', 1074, 0), ('linear', 1074, 1154550), ('ReLU', 1074, 0), ('linear', 1074, 1154550), ('ReLU', 1074, 0), ('linear', 1074, 1154550), ('ReLU', 1074, 0), ('linear', 1074, 1154550), ('ReLU', 1074, 0), ('linear', 137, 147275)]",ReLU,15173,8229125,580,1635,39.18987341772152,0.3734230769230771,0.32982191780821934,0.09491780821917808,0.20716417910447768
input:1330_output:292_depth:4_arch:pyramid_batch:56.out,5,"[('linear', 665, 885115), ('ReLU', 665, 0), ('linear', 332, 221112), ('ReLU', 332, 0), ('linear', 292, 97236), ('ReLU', 292, 0), ('linear', 292, 85556), ('ReLU', 292, 0), ('linear', 292, 85556)]",ReLU,3454,1374575,56,1481,37.81012658227848,0.36650000000000016,0.09831428571428569,0.014357142857142869,0.02397101449275364
input:3258_output:221_depth:4_arch:uniform_batch:20.out,5,"[('linear', 3258, 10617822), ('ReLU', 3258, 0), ('linear', 3258, 10617822), ('ReLU', 3258, 0), ('linear', 3258, 10617822), ('ReLU', 3258, 0), ('linear', 3258, 10617822), ('ReLU', 3258, 0), ('linear', 221, 720239)]",ReLU,26285,43191527,20,2313,79.77922077922078,0.7869740259740264,0.6828358208955222,0.40752238805970165,0.12213235294117654
input:3171_output:334_depth:6_arch:gradual_batch:914.out,7,"[('linear', 2699, 8561228), ('ReLU', 2699, 0), ('linear', 2227, 6012900), ('ReLU', 2227, 0), ('linear', 1755, 3910140), ('ReLU', 1755, 0), ('linear', 1283, 2252948), ('ReLU', 1283, 0), ('linear', 811, 1041324), ('ReLU', 811, 0), ('linear', 339, 275268), ('ReLU', 339, 0), ('linear', 334, 113560)]",ReLU,18562,22167368,914,1953,50.116883116883116,0.4622727272727273,0.4138472222222222,0.16045070422535213,0.32417910447761195
input:2466_output:533_depth:5_arch:gradual_batch:322.out,6,"[('linear', 2080, 5131360), ('ReLU', 2080, 0), ('linear', 1694, 3525214), ('ReLU', 1694, 0), ('linear', 1308, 2217060), ('ReLU', 1308, 0), ('linear', 922, 1206898), ('ReLU', 922, 0), ('linear', 536, 494728), ('ReLU', 536, 0), ('linear', 533, 286221)]",ReLU,13613,12861481,322,1725,49.85897435897436,0.4603333333333332,0.4115142857142859,0.12824285714285713,0.2265352112676056
input:2125_output:294_depth:3_arch:bottleneck_batch:51.out,5,"[('linear', 1062, 2257812), ('ReLU', 1062, 0), ('linear', 531, 564453), ('ReLU', 531, 0), ('linear', 294, 156408), ('ReLU', 294, 0), ('linear', 294, 86730), ('ReLU', 294, 0), ('linear', 294, 86730)]",ReLU,4656,3152133,51,1517,38.311688311688314,0.36209090909090913,0.14743939393939381,0.02860606060606058,0.041815384615384615
input:3767_output:99_depth:5_arch:pyramid_batch:864.out,6,"[('linear', 1883, 7095144), ('ReLU', 1883, 0), ('linear', 941, 1772844), ('ReLU', 941, 0), ('linear', 470, 442740), ('ReLU', 470, 0), ('linear', 235, 110685), ('ReLU', 235, 0), ('linear', 117, 27612), ('ReLU', 117, 0), ('linear', 99, 11682)]",ReLU,7391,9460707,864,1671,36.64102564102564,0.30344871794871786,0.2785342465753424,0.06856164383561643,0.20938888888888893
input:2453_output:181_depth:5_arch:pyramid_batch:134.out,6,"[('linear', 1226, 3008604), ('ReLU', 1226, 0), ('linear', 613, 752151), ('ReLU', 613, 0), ('linear', 306, 187884), ('ReLU', 306, 0), ('linear', 181, 55567), ('ReLU', 181, 0), ('linear', 181, 32942), ('ReLU', 181, 0), ('linear', 181, 32942)]",ReLU,5195,4070090,134,1533,38.40506329113924,0.3584155844155842,0.18323529411764694,0.032779411764705856,0.0806376811594204
input:1839_output:234_depth:9_arch:gradual_batch:607.out,10,"[('linear', 1661, 3056240), ('ReLU', 1661, 0), ('linear', 1483, 2464746), ('ReLU', 1483, 0), ('linear', 1305, 1936620), ('ReLU', 1305, 0), ('linear', 1127, 1471862), ('ReLU', 1127, 0), ('linear', 949, 1070472), ('ReLU', 949, 0), ('linear', 771, 732450), ('ReLU', 771, 0), ('linear', 593, 457796), ('ReLU', 593, 0), ('linear', 415, 246510), ('ReLU', 415, 0), ('linear', 237, 98592), ('ReLU', 237, 0), ('linear', 234, 55692)]",ReLU,17316,11590980,607,1709,42.61538461538461,0.40517948717948726,0.36176056338028184,0.10583098591549295,0.236338028169014
input:2111_output:519_depth:5_arch:gradual_batch:848.out,6,"[('linear', 1793, 3786816), ('ReLU', 1793, 0), ('linear', 1475, 2646150), ('ReLU', 1475, 0), ('linear', 1157, 1707732), ('ReLU', 1157, 0), ('linear', 839, 971562), ('ReLU', 839, 0), ('linear', 521, 437640), ('ReLU', 521, 0), ('linear', 519, 270918)]",ReLU,12089,9820818,848,1691,36.11538461538461,0.3240641025641025,0.29694202898550714,0.07808695652173914,0.21982608695652173
input:1423_output:206_depth:7_arch:gradual_batch:266.out,8,"[('linear', 1250, 1780000), ('ReLU', 1250, 0), ('linear', 1077, 1347327), ('ReLU', 1077, 0), ('linear', 904, 974512), ('ReLU', 904, 0), ('linear', 731, 661555), ('ReLU', 731, 0), ('linear', 558, 408456), ('ReLU', 558, 0), ('linear', 385, 215215), ('ReLU', 385, 0), ('linear', 212, 81832), ('ReLU', 212, 0), ('linear', 206, 43878)]",ReLU,10440,5512775,266,1583,37.76923076923077,0.3526666666666664,0.2454782608695652,0.053463768115942036,0.12765217391304345
input:2528_output:506_depth:7_arch:bottleneck_batch:871.out,9,"[('linear', 1264, 3196656), ('ReLU', 1264, 0), ('linear', 632, 799480), ('ReLU', 632, 0), ('linear', 506, 320298), ('ReLU', 506, 0), ('linear', 506, 256542), ('ReLU', 506, 0), ('linear', 506, 256542), ('ReLU', 506, 0), ('linear', 506, 256542), ('ReLU', 506, 0), ('linear', 506, 256542), ('ReLU', 506, 0), ('linear', 506, 256542), ('ReLU', 506, 0), ('linear', 506, 256542)]",ReLU,10370,5855686,871,1589,34.93589743589744,0.31238961038961033,0.24157352941176474,0.05332352941176471,0.1705076923076923
input:1489_output:142_depth:1_arch:bottleneck_batch:974.out,3,"[('linear', 744, 1108560), ('ReLU', 744, 0), ('linear', 372, 277140), ('ReLU', 372, 0), ('linear', 142, 52966)]",ReLU,2374,1438666,974,1495,21.623376623376622,0.1751688311688312,0.10700000000000001,0.02175384615384615,0.07590769230769234
input:1529_output:120_depth:7_arch:bottleneck_batch:752.out,9,"[('linear', 764, 1168920), ('ReLU', 764, 0), ('linear', 382, 292230), ('ReLU', 382, 0), ('linear', 191, 73153), ('ReLU', 191, 0), ('linear', 120, 23040), ('ReLU', 120, 0), ('linear', 120, 14520), ('ReLU', 120, 0), ('linear', 120, 14520), ('ReLU', 120, 0), ('linear', 120, 14520), ('ReLU', 120, 0), ('linear', 120, 14520), ('ReLU', 120, 0), ('linear', 120, 14520)]",ReLU,3994,1629943,752,1497,28.5,0.2500897435897435,0.13653030303030306,0.024151515151515167,0.07760937499999998
input:323_output:27_depth:8_arch:uniform_batch:1008.out,9,"[('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 323, 104652), ('ReLU', 323, 0), ('linear', 27, 8748)]",ReLU,5195,845964,1008,1487,26.21794871794872,0.24693589743589733,0.13010447761194024,0.028820895522388052,0.06867647058823531
input:2303_output:132_depth:10_arch:pyramid_batch:145.out,11,"[('linear', 1151, 2651904), ('ReLU', 1151, 0), ('linear', 575, 662400), ('ReLU', 575, 0), ('linear', 287, 165312), ('ReLU', 287, 0), ('linear', 143, 41184), ('ReLU', 143, 0), ('linear', 132, 19008), ('ReLU', 132, 0), ('linear', 132, 17556), ('ReLU', 132, 0), ('linear', 132, 17556), ('ReLU', 132, 0), ('linear', 132, 17556), ('ReLU', 132, 0), ('linear', 132, 17556), ('ReLU', 132, 0), ('linear', 132, 17556), ('ReLU', 132, 0), ('linear', 132, 17556)]",ReLU,6028,3645144,145,1547,38.48717948717949,0.35451282051282035,0.14332857142857136,0.028043478260869587,0.060623188405797085
input:860_output:200_depth:3_arch:gradual_batch:305.out,4,"[('linear', 640, 551040), ('ReLU', 640, 0), ('linear', 420, 269220), ('ReLU', 420, 0), ('linear', 200, 84200), ('ReLU', 200, 0), ('linear', 200, 40200)]",ReLU,2720,944660,305,1477,30.986842105263158,0.28194805194805195,0.10339393939393943,0.015439393939393947,0.05344776119402986
input:1153_output:275_depth:4_arch:pyramid_batch:656.out,5,"[('linear', 576, 664704), ('ReLU', 576, 0), ('linear', 288, 166176), ('ReLU', 288, 0), ('linear', 275, 79475), ('ReLU', 275, 0), ('linear', 275, 75900), ('ReLU', 275, 0), ('linear', 275, 75900)]",ReLU,3103,1062155,656,1485,26.2987012987013,0.23454545454545447,0.10986363636363637,0.01865151515151516,0.06313636363636363
input:2638_output:653_depth:4_arch:bottleneck_batch:44.out,6,"[('linear', 1319, 3480841), ('ReLU', 1319, 0), ('linear', 659, 869880), ('ReLU', 659, 0), ('linear', 653, 430980), ('ReLU', 653, 0), ('linear', 653, 427062), ('ReLU', 653, 0), ('linear', 653, 427062), ('ReLU', 653, 0), ('linear', 653, 427062)]",ReLU,8527,6062887,44,1583,38.94805194805195,0.3686666666666669,0.23998550724637682,0.054840579710144985,0.055181818181818235
input:965_output:199_depth:9_arch:uniform_batch:99.out,10,"[('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 965, 932190), ('ReLU', 965, 0), ('linear', 199, 192234)]",ReLU,17569,8581944,99,1639,49.54545454545455,0.48567532467532476,0.3248450704225352,0.08374647887323938,0.11456338028169012
input:668_output:105_depth:2_arch:uniform_batch:938.out,3,"[('linear', 668, 446892), ('ReLU', 668, 0), ('linear', 668, 446892), ('ReLU', 668, 0), ('linear', 105, 70245)]",ReLU,2777,964029,938,1497,20.53846153846154,0.17743589743589744,0.09401538461538467,0.018953846153846154,0.06603030303030302
input:955_output:232_depth:2_arch:pyramid_batch:93.out,3,"[('linear', 477, 456012), ('ReLU', 477, 0), ('linear', 238, 113764), ('ReLU', 238, 0), ('linear', 232, 55448)]",ReLU,1662,625224,93,1475,36.205128205128204,0.3442435897435896,0.07144444444444446,0.010597222222222228,0.020623188405797098
input:4001_output:961_depth:9_arch:pyramid_batch:363.out,10,"[('linear', 2000, 8004000), ('ReLU', 2000, 0), ('linear', 1000, 2001000), ('ReLU', 1000, 0), ('linear', 961, 961961), ('ReLU', 961, 0), ('linear', 961, 924482), ('ReLU', 961, 0), ('linear', 961, 924482), ('ReLU', 961, 0), ('linear', 961, 924482), ('ReLU', 961, 0), ('linear', 961, 924482), ('ReLU', 961, 0), ('linear', 961, 924482), ('ReLU', 961, 0), ('linear', 961, 924482), ('ReLU', 961, 0), ('linear', 961, 924482)]",ReLU,20415,17438335,363,1835,51.43037974683544,0.4761923076923077,0.42860294117647063,0.14973529411764705,0.24199999999999988
input:2567_output:636_depth:4_arch:gradual_batch:155.out,5,"[('linear', 2085, 5354280), ('ReLU', 2085, 0), ('linear', 1603, 3343858), ('ReLU', 1603, 0), ('linear', 1121, 1798084), ('ReLU', 1121, 0), ('linear', 639, 716958), ('ReLU', 639, 0), ('linear', 636, 407040)]",ReLU,11532,11620220,155,1701,52.860759493670884,0.5034358974358973,0.41857746478873253,0.12211267605633805,0.16998591549295766
