Filename,Batch Size,Seq Length,Embedding Size,Num Layers,Num Heads,Depth,Accumulated Params,Activations-Params,Total Activations,Total Parameters,Max GPU Memory (MiB),NonDynamicallyQuantizableLinear Count,Linear Count,LayerNorm Count,Dropout Count,Status
num_classes:777_embedding_size:1024_num_layers:5_num_heads:2_ff_hidden_size:2253_dropout_rate:0.45001635463475775_seq_length:512_input_size:431831_num_samples:3743_batch_size:8.out,8,512,1024,5,2,42,471326474,"[('Embedding', 4194304, 442194944), ('NonDynamicallyQuantizableLinear', 8192, 1049600), ('Linear', 18024, 2309325), ('Dropout', 18024, 0), ('Linear', 8192, 2308096), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 1049600), ('Linear', 18024, 2309325), ('Dropout', 18024, 0), ('Linear', 8192, 2308096), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 1049600), ('Linear', 18024, 2309325), ('Dropout', 18024, 0), ('Linear', 8192, 2308096), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 1049600), ('Linear', 18024, 2309325), ('Dropout', 18024, 0), ('Linear', 8192, 2308096), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 1049600), ('Linear', 18024, 2309325), ('Dropout', 18024, 0), ('Linear', 8192, 2308096), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('Linear', 6216, 796425)]",4626520,471326474,11449,5,11,10,15,SUCCESSFUL
num_classes:299_embedding_size:128_num_layers:2_num_heads:16_ff_hidden_size:310_dropout_rate:0.1625627907261059_seq_length:128_input_size:132595_num_samples:4831_batch_size:32.out,32,128,128,2,16,18,17203351,"[('Embedding', 524288, 16972160), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 9920, 39990), ('Dropout', 9920, 0), ('Linear', 4096, 39808), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 9920, 39990), ('Dropout', 9920, 0), ('Linear', 4096, 39808), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('Linear', 9568, 38571)]",622688,17203351,1869,2,5,4,6,SUCCESSFUL
num_classes:997_embedding_size:512_num_layers:7_num_heads:16_ff_hidden_size:1658_dropout_rate:0.2784915465173804_seq_length:128_input_size:878772_num_samples:1064_batch_size:64.out,64,128,512,7,16,58,464181051,"[('Embedding', 4194304, 449931264), ('NonDynamicallyQuantizableLinear', 32768, 262656), ('Linear', 106112, 850554), ('Dropout', 106112, 0), ('Linear', 32768, 849408), ('LayerNorm', 32768, 0), ('LayerNorm', 32768, 0), ('Dropout', 32768, 0), ('Dropout', 32768, 0), ('NonDynamicallyQuantizableLinear', 32768, 262656), ('Linear', 106112, 850554), ('Dropout', 106112, 0), ('Linear', 32768, 849408), ('LayerNorm', 32768, 0), ('LayerNorm', 32768, 0), ('Dropout', 32768, 0), ('Dropout', 32768, 0), ('NonDynamicallyQuantizableLinear', 32768, 262656), ('Linear', 106112, 850554), ('Dropout', 106112, 0), ('Linear', 32768, 849408), ('LayerNorm', 32768, 0), ('LayerNorm', 32768, 0), ('Dropout', 32768, 0), ('Dropout', 32768, 0), ('NonDynamicallyQuantizableLinear', 32768, 262656), ('Linear', 106112, 850554), ('Dropout', 106112, 0), ('Linear', 32768, 849408), ('LayerNorm', 32768, 0), ('LayerNorm', 32768, 0), ('Dropout', 32768, 0), ('Dropout', 32768, 0), ('NonDynamicallyQuantizableLinear', 32768, 262656), ('Linear', 106112, 850554), ('Dropout', 106112, 0), ('Linear', 32768, 849408), ('LayerNorm', 32768, 0), ('LayerNorm', 32768, 0), ('Dropout', 32768, 0), ('Dropout', 32768, 0), ('NonDynamicallyQuantizableLinear', 32768, 262656), ('Linear', 106112, 850554), ('Dropout', 106112, 0), ('Linear', 32768, 849408), ('LayerNorm', 32768, 0), ('LayerNorm', 32768, 0), ('Dropout', 32768, 0), ('Dropout', 32768, 0), ('NonDynamicallyQuantizableLinear', 32768, 262656), ('Linear', 106112, 850554), ('Dropout', 106112, 0), ('Linear', 32768, 849408), ('LayerNorm', 32768, 0), ('LayerNorm', 32768, 0), ('Dropout', 32768, 0), ('Dropout', 32768, 0), ('Linear', 63808, 511461)]",7119936,464181051,12289,7,15,14,21,SUCCESSFUL
num_classes:897_embedding_size:768_num_layers:2_num_heads:4_ff_hidden_size:1841_dropout_rate:0.19754306585566486_seq_length:256_input_size:165230_num_samples:4610_batch_size:32.out,32,256,768,2,4,18,134428387,"[('Embedding', 6291456, 126896640), ('NonDynamicallyQuantizableLinear', 24576, 590592), ('Linear', 58912, 1415729), ('Dropout', 58912, 0), ('Linear', 24576, 1414656), ('LayerNorm', 24576, 0), ('LayerNorm', 24576, 0), ('Dropout', 24576, 0), ('Dropout', 24576, 0), ('NonDynamicallyQuantizableLinear', 24576, 590592), ('Linear', 58912, 1415729), ('Dropout', 58912, 0), ('Linear', 24576, 1414656), ('LayerNorm', 24576, 0), ('LayerNorm', 24576, 0), ('Dropout', 24576, 0), ('Dropout', 24576, 0), ('Linear', 28704, 689793)]",6850720,134428387,4911,2,5,4,6,SUCCESSFUL
num_classes:215_embedding_size:768_num_layers:12_num_heads:4_ff_hidden_size:1999_dropout_rate:0.27134911044556465_seq_length:128_input_size:551238_num_samples:4544_batch_size:16.out,16,128,768,12,4,98,467481995,"[('Embedding', 1572864, 423350784), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 31984, 1537231), ('Dropout', 31984, 0), ('Linear', 12288, 1536000), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('Linear', 3440, 165335)]",3228656,467481995,12657,12,25,24,36,SUCCESSFUL
num_classes:752_embedding_size:128_num_layers:10_num_heads:2_ff_hidden_size:364_dropout_rate:0.2770747538670083_seq_length:512_input_size:979320_num_samples:1535_batch_size:32.out,32,512,128,10,2,82,126551848,"[('Embedding', 2097152, 125352960), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 11648, 46956), ('Dropout', 11648, 0), ('Linear', 4096, 46720), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('Linear', 24064, 97008)]",2599936,126551848,5355,10,21,20,30,SUCCESSFUL
num_classes:94_embedding_size:256_num_layers:2_num_heads:8_ff_hidden_size:612_dropout_rate:0.23880238526641412_seq_length:256_input_size:604479_num_samples:2320_batch_size:16.out,16,256,256,2,8,18,155530790,"[('Embedding', 1048576, 154746624), ('NonDynamicallyQuantizableLinear', 4096, 65792), ('Linear', 9792, 157284), ('Dropout', 9792, 0), ('Linear', 4096, 156928), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 65792), ('Linear', 9792, 157284), ('Dropout', 9792, 0), ('Linear', 4096, 156928), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('Linear', 1504, 24158)]",1138400,155530790,5039,2,5,4,6,SUCCESSFUL
num_classes:433_embedding_size:512_num_layers:10_num_heads:2_ff_hidden_size:1824_dropout_rate:0.2611513918050406_seq_length:256_input_size:235231_num_samples:3340_batch_size:8.out,8,256,512,10,2,82,141988081,"[('Embedding', 1048576, 120438272), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 262656), ('Linear', 14592, 935712), ('Dropout', 14592, 0), ('Linear', 4096, 934400), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('Linear', 3464, 222129)]",1589640,141988081,5171,10,21,20,30,SUCCESSFUL
num_classes:411_embedding_size:768_num_layers:12_num_heads:4_ff_hidden_size:1856_dropout_rate:0.46235022215672705_seq_length:256_input_size:283905_num_samples:2911_batch_size:16.out,16,256,768,12,4,98,259683483,"[('Embedding', 3145728, 218039040), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('NonDynamicallyQuantizableLinear', 12288, 590592), ('Linear', 29696, 1427264), ('Dropout', 29696, 0), ('Linear', 12288, 1426176), ('LayerNorm', 12288, 0), ('LayerNorm', 12288, 0), ('Dropout', 12288, 0), ('Dropout', 12288, 0), ('Linear', 6576, 316059)]",4749744,259683483,8341,12,25,24,36,SUCCESSFUL
num_classes:744_embedding_size:256_num_layers:10_num_heads:4_ff_hidden_size:586_dropout_rate:0.3899875096437465_seq_length:512_input_size:739782_num_samples:1686_batch_size:32.out,32,512,256,10,4,82,193242060,"[('Embedding', 4194304, 189384192), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('NonDynamicallyQuantizableLinear', 8192, 65792), ('Linear', 18752, 150602), ('Dropout', 18752, 0), ('Linear', 8192, 150272), ('LayerNorm', 8192, 0), ('LayerNorm', 8192, 0), ('Dropout', 8192, 0), ('Dropout', 8192, 0), ('Linear', 23808, 191208)]",5084672,193242060,7851,10,21,20,30,SUCCESSFUL
num_classes:652_embedding_size:768_num_layers:8_num_heads:4_ff_hidden_size:1674_dropout_rate:0.14079551952710556_seq_length:128_input_size:641172_num_samples:3071_batch_size:64.out,64,128,768,8,4,66,518235868,"[('Embedding', 6291456, 492420096), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('NonDynamicallyQuantizableLinear', 49152, 590592), ('Linear', 107136, 1287306), ('Dropout', 107136, 0), ('Linear', 49152, 1286400), ('LayerNorm', 49152, 0), ('LayerNorm', 49152, 0), ('Dropout', 49152, 0), ('Dropout', 49152, 0), ('Linear', 41728, 501388)]",10406656,518235868,14105,8,17,16,24,SUCCESSFUL
num_classes:23_embedding_size:128_num_layers:11_num_heads:4_ff_hidden_size:321_dropout_rate:0.3306206236434944_seq_length:128_input_size:258204_num_samples:4350_batch_size:32.out,32,128,128,11,4,90,34143586,"[('Embedding', 524288, 33050112), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('NonDynamicallyQuantizableLinear', 4096, 16512), ('Linear', 10272, 41409), ('Dropout', 10272, 0), ('Linear', 4096, 41216), ('LayerNorm', 4096, 0), ('LayerNorm', 4096, 0), ('Dropout', 4096, 0), ('Dropout', 4096, 0), ('Linear', 736, 2967)]",1021344,34143586,2485,11,23,22,33,SUCCESSFUL
