,batch_size,Actual GPU memory,GPUMemNet ,FakeTensor,Horus
vgg16,32,8222,16000,3121.344643,21525.8262
,128,24408,24000,9894.398354,82119.9297
inception,32,6346,8000,1590.304115,5990.3652
,128,19018,16000,6298.154701,21288.6953
BERT_large,8,13568,24000,-,13349.4346
xlnet_base,8,9718,16000,-,3661.7393
xlnet_large,4,14546,16000,-,5325.0273
gpt2_xl,2,36206,48000,-,22847.0625
